year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2016,AT12,AT127,46.0,63.9,34.0,8.0,42.1,22.9,9.1,87.6,48.8,87.8,,9.7,73.8,99.9,,52.3,79.6,,,79.6
2017,AT12,AT127,68.8,,31.2,,16.8,19.2,,85.7,50.7,91.4,9.9,,80.6,100.0,97.5,55.8,82.5,,,82.5
2018,AT12,AT127,33.9,,34.9,2.7,43.2,17.7,2.4,85.7,35.1,88.1,8.6,8.5,81.5,100.0,97.8,53.4,84.1,85.9,80.7,85.7
2019,AT12,AT127,61.2,56.1,33.6,,56.2,15.8,3.4,,35.2,88.0,9.3,8.2,99.9,100.0,99.8,,84.0,89.8,78.9,83.4
2020,AT12,AT127,43.2,58.0,30.3,2.0,40.5,13.5,5.7,86.4,47.3,84.6,,10.0,73.5,100.0,,53.0,82.4,91.0,74.9,81.4
2021,AT12,AT127,44.4,59.4,27.1,0.9,56.0,17.0,5.1,,34.3,86.7,4.9,11.4,80.7,97.3,97.0,52.2,82.1,87.1,77.1,
2022,AT12,AT127,44.2,62.5,29.9,0.0,43.5,20.0,1.6,87.8,35.2,88.8,1.5,15.3,80.2,97.2,97.0,53.6,82.7,89.6,78.2,80.4
2023,AT12,AT127,42.8,59.2,30.7,0.0,14.8,18.5,,88.9,33.5,85.8,2.5,12.1,80.9,94.9,99.8,52.0,85.8,88.0,,83.5
2024,AT12,AT127,0.0,,,0.0,41.7,19.7,4.7,89.8,32.4,85.6,0.3,11.3,80.2,94.1,97.1,50.5,86.0,89.3,,82.8
2025,AT12,AT127,41.1,54.8,35.0,3.5,42.3,18.9,4.9,87.0,33.2,86.0,3.5,10.0,73.8,,100.0,52.5,85.1,92.8,78.6,83.8
2026,AT12,AT127,40.6,52.5,35.3,4.7,56.8,22.2,8.7,,84.1,84.1,,,93.1,89.6,96.6,,83.0,89.9,78.0,81.0
2016,AT13,AT130,41.2,81.1,93.9,36.4,30.4,43.0,85.0,66.8,56.2,27.2,85.3,,69.1,,69.1,,54.0,34.0,74.6,53.4
2017,AT13,AT130,9.2,,90.8,,36.5,43.6,,70.7,57.4,25.8,88.9,,31.0,0.0,70.1,77.1,55.1,37.0,73.2,
2018,AT13,AT130,19.9,,94.6,34.3,30.8,44.8,80.9,71.5,17.9,26.1,,9.7,30.5,0.0,66.9,75.3,56.7,38.6,74.8,
2019,AT13,AT130,39.8,78.4,92.0,32.9,34.7,44.5,,75.1,40.7,23.2,90.3,8.7,45.6,,69.1,77.8,64.4,,73.0,55.8
2020,AT13,AT130,39.0,81.4,95.7,31.4,28.8,44.0,79.5,78.2,13.8,21.1,,6.4,46.9,,71.9,78.1,53.8,32.9,71.0,57.4
2021,AT13,AT130,59.2,84.3,,34.2,27.2,41.7,81.1,79.1,39.7,22.7,91.5,5.0,11.0,0.0,,78.0,53.0,36.5,68.0,54.4
2022,AT13,AT130,42.5,82.1,90.7,36.0,30.3,41.5,,80.9,15.8,24.4,,7.1,35.6,1.6,69.7,,45.2,33.2,,57.3
2023,AT13,AT130,42.9,84.6,90.2,34.4,20.0,,79.1,80.9,38.0,20.9,87.1,6.1,32.7,3.7,73.6,79.3,35.0,35.0,,
2024,AT13,AT130,41.7,84.3,92.0,32.9,18.1,,80.3,83.5,47.3,,86.6,8.1,38.5,1.0,75.9,,52.6,34.9,62.8,60.2
2025,AT13,AT130,46.1,82.7,90.5,,34.1,44.5,76.3,,15.7,20.5,,10.8,32.1,1.9,74.7,80.2,37.0,37.0,,
2026,AT13,AT130,41.7,85.1,91.3,31.4,25.3,41.2,78.3,87.1,50.6,19.8,81.5,,45.6,,74.1,82.8,38.5,38.5,,
2016,AT21,AT211,69.4,56.3,17.4,,46.8,,45.5,60.9,70.2,87.9,57.2,65.5,12.5,9.8,25.4,97.8,72.3,64.6,96.3,56.1
2017,AT21,AT211,70.3,54.7,14.0,,54.2,65.4,44.0,58.8,76.8,90.8,,62.7,11.7,10.9,23.4,99.1,78.2,63.1,93.4,
2018,AT21,AT211,55.3,58.7,10.0,17.1,54.3,61.7,42.6,56.1,59.9,,57.3,62.5,12.0,13.9,19.5,97.3,72.3,62.6,97.1,57.2
2019,AT21,AT211,54.6,55.6,9.6,17.7,53.6,63.8,46.4,56.5,70.4,91.3,53.6,66.3,2.2,,,97.8,81.6,63.2,100.0,
2020,AT21,AT211,54.4,57.7,10.4,16.0,53.7,63.6,45.6,56.9,73.1,90.6,55.6,,12.9,,25.1,99.3,73.8,65.1,100.0,56.3
2021,AT21,AT211,75.0,58.6,8.7,,55.2,64.8,45.7,53.6,75.7,94.1,57.2,,14.9,18.2,26.5,100.0,73.8,61.8,100.0,59.6
2022,AT21,AT211,56.3,60.9,6.6,14.5,53.7,68.1,49.6,57.5,73.9,94.2,59.7,67.7,14.0,14.6,23.8,96.4,72.7,60.2,100.0,58.0
2023,AT21,AT211,55.5,58.7,8.3,16.1,51.3,65.6,50.9,60.8,75.4,96.8,58.8,70.5,14.3,17.0,23.3,97.3,59.8,62.2,,57.3
2024,AT21,AT211,56.2,58.9,9.9,19.6,51.5,66.3,51.2,60.5,76.2,95.1,60.1,73.3,13.4,15.3,22.1,97.3,71.0,59.6,98.9,54.4
